euctr_id,other_id,field,provenance
2006-000815-24,NA,other,downlaod
2006-000815-24,NA,US NCT number,results_page
2006-000815-24,NA,ISRCTN number,results_page
2005-006133-32,NA,US NCT number,download
2005-006133-32,NA,other,downlaod
2005-006133-32,NA,US NCT number,results_page
2005-006133-32,NA,ISRCTN number,results_page
2005-005021-60,NA,US NCT number,download
2005-005021-60,NA,other,downlaod
2005-005021-60,NA,US NCT number,results_page
2005-005021-60,NA,ISRCTN number,results_page
2005-005017-38,NA,US NCT number,download
2005-005017-38,NA,other,downlaod
2005-005017-38,NA,US NCT number,results_page
2005-005017-38,NA,ISRCTN number,results_page
2005-003714-15,NA,US NCT number,download
2005-003714-15,NA,other,downlaod
2005-003714-15,NA,US NCT number,results_page
2005-003714-15,NA,ISRCTN number,results_page
2005-003648-70,NA,US NCT number,download
2005-003648-70,NA,other,downlaod
2005-003648-70,NA,US NCT number,results_page
2005-003648-70,NA,ISRCTN number,results_page
2005-003617-33,NA,US NCT number,download
2005-003617-33,NA,other,downlaod
2005-003617-33,NA,US NCT number,results_page
2005-003617-33,NA,ISRCTN number,results_page
2005-003488-22,NA,US NCT number,download
2005-003488-22,NA,other,downlaod
2005-003488-22,NA,US NCT number,results_page
2005-003488-22,NA,ISRCTN number,results_page
2005-003195-38,NA,US NCT number,download
2005-003195-38,NA,other,downlaod
2005-003195-38,NA,US NCT number,results_page
2005-003195-38,NA,ISRCTN number,results_page
2005-002582-37,NA,US NCT number,download
2005-002582-37,NA,other,downlaod
2005-002582-37,NA,US NCT number,results_page
2005-002582-37,NA,ISRCTN number,results_page
2005-002475-32,NA,US NCT number,download
2005-002475-32,NA,other,downlaod
2005-002475-32,NA,US NCT number,results_page
2005-002475-32,NA,ISRCTN number,results_page
2005-002320-34,NA,US NCT number,download
2005-002320-34,NA,other,downlaod
2005-002320-34,NCT00844142,US NCT number,results_page
2005-002320-34,NA,ISRCTN number,results_page
2005-001907-21,NA,US NCT number,download
2005-001907-21,NA,other,downlaod
2005-001907-21,NA,US NCT number,results_page
2005-001907-21,NA,ISRCTN number,results_page
2005-001602-76,NA,US NCT number,download
2005-001602-76,NA,other,downlaod
2005-001602-76,NA,US NCT number,results_page
2005-001602-76,NA,ISRCTN number,results_page
2005-001559-39,NA,US NCT number,download
2005-001559-39,NA,other,downlaod
2005-001559-39,NA,US NCT number,results_page
2005-001559-39,NA,ISRCTN number,results_page
2005-001486-33,NA,US NCT number,download
2005-001486-33,NA,other,downlaod
2005-001486-33,NA,US NCT number,results_page
2005-001486-33,NA,ISRCTN number,results_page
2005-001456-20,NA,US NCT number,download
2005-001456-20,NA,other,downlaod
2005-001456-20,NA,US NCT number,results_page
2005-001456-20,NA,ISRCTN number,results_page
2004-005172-17,NA,US NCT number,download
2004-005172-17,NA,other,downlaod
